"","results"
"1",1
"2",NA
"3",0.960042317015725
"4",0.913162164250212
"5",0.46546438095321
"6",0.414411468237466
"7",0.808343368501303
"8",0.389523881331967
"9",0.340531100874142
"10",0.333907454703029
"11",0.357150624892354
"12",2
"13",NA
"14",0.968016613891363
"15",0.952181907630572
"16",0.892323711789026
"17",0.836482626989651
"18",0.60128112774502
"19",0.55033887018378
"20",0.46211136985959
"21",0.5214997919505
"22",0.351839301433463
"23",3
"24",NA
"25",0.978680708025925
"26",0.449167882414611
"27",0.881561035914222
"28",0.460517180413453
"29",0.742485445601936
"30",0.654753155725172
"31",0.371882575784709
"32",0.395129210362589
"33",0.393888926986491
"34",4
"35",NA
"36",0.97163950988458
"37",0.956033077933701
"38",0.528330360975778
"39",0.530372077259992
"40",0.412053050186115
"41",0.373487376286876
"42",0.314257789869739
"43",0.413067188072619
"44",0.36781764122894
"45",5
"46",NA
"47",0.987915174812139
"48",0.958956791322099
"49",0.440077002979356
"50",0.673360601930579
"51",0.393842600555296
"52",0.389755217046755
"53",0.694579705491896
"54",0.358837127062773
"55",0.567393338598
"56",6
"57",NA
"58",0.967010251055081
"59",0.921986224560964
"60",0.507020614585912
"61",0.367301529825944
"62",0.395956808762369
"63",0.328411976420374
"64",0.439132209061508
"65",0.373589779128014
"66",0.546249083966521
"67",7
"68",NA
"69",0.983296252002364
"70",0.89945471479546
"71",0.4219334914233
"72",0.502953169483997
"73",0.475978839771603
"74",0.47595427998575
"75",0.42427167772555
"76",0.61103260617879
"77",0.530357050133488
"78",8
"79",NA
"80",0.978704223662307
"81",0.937241622850666
"82",0.834017000347767
"83",0.371788091336553
"84",0.395871802240266
"85",0.333461258898929
"86",0.475518575301297
"87",0.591260164248312
"88",0.461422717032289
"89",9
"90",NA
"91",0.971505830240193
"92",0.887163659351732
"93",0.587369714706473
"94",0.425101956231524
"95",0.451130786663
"96",0.373670799348373
"97",0.557574738053473
"98",0.469741946530625
"99",0.4577597502386
"100",10
"101",NA
"102",0.950939878140653
"103",0.93189691022669
"104",0.558446675519916
"105",0.493863465359566
"106",0.388898646903376
"107",0.757418088701866
"108",0.347472023140697
"109",0.60340136466857
"110",0.471687014735809
"111",11
"112",NA
"113",0.961179978183385
"114",0.917246011936765
"115",0.905835568218724
"116",0.434895649541674
"117",0.490538720207661
"118",0.405810520017685
"119",0.399494510030019
"120",0.327755548224227
"121",0.481642321097521
"122",12
"123",NA
"124",0.972581559707114
"125",0.913280306113966
"126",0.468224935165996
"127",0.43615284926884
"128",0.396965080547247
"129",0.35352056865701
"130",0.494414456242054
"131",0.465656776705452
"132",0.293147417539269
"133",13
"134",NA
"135",0.973830592832992
"136",0.927505404954114
"137",0.490289467107685
"138",0.324699196614392
"139",0.359179183064157
"140",0.369608834639102
"141",0.344373720724181
"142",0.693385378266306
"143",0.537324869960968
"144",14
"145",NA
"146",0.970306914105302
"147",0.925494107341292
"148",0.924776250712815
"149",0.790059516334772
"150",0.368818282444033
"151",0.332567874098784
"152",0.32300650913762
"153",0.535099691059463
"154",0.676914765611571
"155",15
"156",NA
